Pression, tour moteur, température, AFR, Duréé injection, Papillon, Cible AFR, Cor AFR 
48.47 , 1806 , 42 , 154.00 , 5868.04 , 25.00 , 105.00 , 0.94
48.78 , 1822 , 42 , 161.00 , 5874.56 , 25.00 , 105.00 , 0.94
50.02 , 1772 , 42 , 161.00 , 6520.59 , 26.00 , 105.00 , 0.94
52.52 , 1802 , 42 , 153.00 , 6538.92 , 27.00 , 105.00 , 0.94
57.50 , 1759 , 42 , 153.00 , 6512.65 , 28.00 , 105.00 , 0.94
56.88 , 1795 , 42 , 151.00 , 6534.64 , 28.00 , 105.00 , 0.94
58.75 , 1757 , 42 , 151.00 , 6511.43 , 29.00 , 105.00 , 0.94
60.62 , 1856 , 42 , 154.00 , 6571.92 , 31.00 , 105.00 , 0.94
61.24 , 1848 , 42 , 154.00 , 6567.03 , 31.00 , 105.00 , 0.94
61.55 , 1909 , 42 , 153.00 , 6604.30 , 32.00 , 105.00 , 0.94
61.55 , 1944 , 42 , 153.00 , 6625.68 , 32.00 , 105.00 , 0.94
62.49 , 1958 , 42 , 154.00 , 6634.24 , 33.00 , 105.00 , 0.94
63.73 , 1968 , 42 , 154.00 , 6640.35 , 33.00 , 105.00 , 0.94
62.18 , 2047 , 42 , 156.00 , 6688.62 , 33.00 , 105.00 , 0.94
63.42 , 2009 , 42 , 156.00 , 6665.40 , 33.00 , 105.00 , 0.94
63.42 , 2067 , 42 , 156.00 , 6700.84 , 33.00 , 105.00 , 0.94
63.42 , 2101 , 42 , 156.00 , 6721.61 , 34.00 , 105.00 , 0.94
63.42 , 2111 , 42 , 156.00 , 6727.72 , 34.00 , 105.00 , 0.94
64.98 , 2124 , 42 , 156.00 , 6735.66 , 35.00 , 105.00 , 0.94
64.98 , 2218 , 42 , 156.00 , 6793.10 , 36.00 , 105.00 , 0.94
66.54 , 2173 , 42 , 156.00 , 6673.14 , 36.00 , 105.00 , 0.94
66.23 , 2246 , 42 , 155.00 , 6747.48 , 37.00 , 105.00 , 0.94
66.85 , 2190 , 42 , 155.00 , 6690.45 , 37.00 , 105.00 , 0.94
67.16 , 2257 , 42 , 155.00 , 6758.68 , 38.00 , 105.00 , 0.94
67.79 , 2294 , 42 , 155.00 , 6796.36 , 38.00 , 105.00 , 0.94
68.41 , 2266 , 42 , 154.00 , 6767.84 , 38.00 , 105.00 , 0.94
67.79 , 2416 , 42 , 154.00 , 6920.59 , 38.00 , 105.00 , 0.94
68.10 , 2323 , 42 , 154.00 , 6825.89 , 38.00 , 105.00 , 0.94
68.41 , 2398 , 42 , 154.00 , 6902.26 , 38.00 , 105.00 , 0.94
67.79 , 2429 , 42 , 153.00 , 6933.83 , 39.00 , 105.00 , 0.94
69.03 , 2335 , 42 , 153.00 , 6838.11 , 39.00 , 105.00 , 0.94
68.72 , 2517 , 42 , 154.00 , 7023.44 , 40.00 , 105.00 , 0.94
70.59 , 2374 , 42 , 154.00 , 6877.82 , 40.00 , 105.00 , 0.94
69.66 , 2541 , 42 , 154.00 , 7047.89 , 40.00 , 105.00 , 0.94
69.66 , 2508 , 42 , 154.00 , 7014.28 , 40.00 , 105.00 , 0.94
69.03 , 2483 , 42 , 152.00 , 6988.82 , 40.00 , 105.00 , 0.94
70.28 , 2479 , 42 , 152.00 , 6984.75 , 40.00 , 105.00 , 0.94
69.34 , 2600 , 42 , 152.00 , 7107.97 , 40.00 , 105.00 , 0.94
69.97 , 2538 , 42 , 152.00 , 7044.83 , 40.00 , 105.00 , 0.94
